content_id,title,content_type,release_year,runtime_minutes,language,rating,age_rating
CNT00001,StreamIQ Original 0001,Series,2020,171,Telugu,9.5,13+
CNT00002,StreamIQ Original 0002,Series,2019,76,Telugu,7.3,16+
CNT00003,StreamIQ Original 0003,Series,2020,148,English,6.5,18+
CNT00004,StreamIQ Original 0004,Series,2019,131,German,9.3,18+
CNT00005,StreamIQ Original 0005,Series,2023,128,Hindi,6.3,U
CNT00006,StreamIQ Original 0006,Movie,2020,90,English,5.2,18+
CNT00007,StreamIQ Original 0007,Series,2019,85,English,8.0,13+
CNT00008,StreamIQ Original 0008,Movie,2021,139,Hindi,9.6,16+
CNT00009,StreamIQ Original 0009,Movie,2024,82,Tamil,6.8,13+
CNT00010,StreamIQ Original 0010,Movie,2019,77,English,7.3,16+
CNT00011,StreamIQ Original 0011,Series,2021,166,English,6.4,16+
CNT00012,StreamIQ Original 0012,Series,2022,130,English,7.1,18+
CNT00013,StreamIQ Original 0013,Series,2019,72,English,6.4,13+
CNT00014,StreamIQ Original 0014,Series,2020,180,English,8.1,16+
CNT00015,StreamIQ Original 0015,Movie,2022,115,Hindi,8.5,13+
CNT00016,StreamIQ Original 0016,Series,2021,131,French,5.9,16+
CNT00017,StreamIQ Original 0017,Movie,2024,92,French,8.5,13+
CNT00018,StreamIQ Original 0018,Movie,2022,77,English,6.3,U
CNT00019,StreamIQ Original 0019,Movie,2019,89,English,7.6,16+
CNT00020,StreamIQ Original 0020,Movie,2018,99,English,8.1,16+
CNT00021,StreamIQ Original 0021,Movie,2024,179,English,7.0,18+
CNT00022,StreamIQ Original 0022,Movie,2019,144,English,6.0,18+
CNT00023,StreamIQ Original 0023,Series,2021,123,Spanish,6.3,13+
CNT00024,StreamIQ Original 0024,Movie,2025,89,English,8.1,U
CNT00025,StreamIQ Original 0025,Series,2022,71,English,8.3,16+
CNT00026,StreamIQ Original 0026,Series,2025,167,English,5.6,18+
CNT00027,StreamIQ Original 0027,Movie,2025,86,Portuguese,8.7,13+
