content_id,genre_id
CNT00001,GEN01
CNT00001,GEN12
CNT00002,GEN04
CNT00003,GEN02
CNT00004,GEN15
CNT00004,GEN09
CNT00005,GEN07
CNT00006,GEN02
CNT00007,GEN09
CNT00008,GEN09
CNT00008,GEN04
CNT00009,GEN12
CNT00009,GEN09
CNT00010,GEN08
CNT00011,GEN13
CNT00011,GEN14
CNT00012,GEN13
CNT00013,GEN07
CNT00014,GEN03
CNT00015,GEN13
CNT00016,GEN02
CNT00017,GEN06
CNT00018,GEN10
CNT00018,GEN05
CNT00019,GEN12
CNT00019,GEN08
CNT00020,GEN15
CNT00021,GEN09
CNT00022,GEN11
CNT00023,GEN14
CNT00023,GEN06
CNT00024,GEN12
CNT00024,GEN02
CNT00025,GEN04
CNT00026,GEN02
CNT00026,GEN14
CNT00027,GEN02
CNT00028,GEN08
CNT00029,GEN06
CNT00029,GEN03
CNT00030,GEN04
CNT00031,GEN12
CNT00031,GEN11
CNT00032,GEN10
CNT00032,GEN11
CNT00033,GEN12
CNT00034,GEN08
CNT00035,GEN15
CNT00036,GEN09
CNT00036,GEN04
CNT00037,GEN14
CNT00037,GEN13
CNT00038,GEN04
CNT00038,GEN14
CNT00039,GEN06
CNT00040,GEN02
CNT00041,GEN10
CNT00042,GEN06
CNT00042,GEN04
CNT00043,GEN07
CNT00043,GEN11
CNT00044,GEN05
CNT00045,GEN12
CNT00046,GEN05
CNT00046,GEN12
CNT00047,GEN15
CNT00047,GEN10
CNT00048,GEN04
CNT00049,GEN03
CNT00049,GEN09
CNT00049,GEN08
CNT00050,GEN01
CNT00051,GEN03
CNT00051,GEN11
CNT00052,GEN11
CNT00053,GEN02
CNT00054,GEN10
CNT00055,GEN09
CNT00055,GEN05
CNT00055,GEN15
CNT00056,GEN01
CNT00056,GEN11
CNT00057,GEN11
CNT00057,GEN09
CNT00058,GEN13
CNT00058,GEN11
CNT00059,GEN05
CNT00060,GEN08
CNT00061,GEN12
CNT00062,GEN05
CNT00062,GEN09
CNT00063,GEN09
CNT00063,GEN02
CNT00064,GEN05
CNT00064,GEN14
CNT00065,GEN10
CNT00065,GEN04
CNT00066,GEN13
CNT00067,GEN13
CNT00068,GEN15
CNT00068,GEN01
CNT00068,GEN10
CNT00069,GEN01
CNT00070,GEN06
CNT00071,GEN14
CNT00071,GEN13
CNT00072,GEN01
CNT00073,GEN10
CNT00074,GEN02
CNT00074,GEN12
CNT00074,GEN08
CNT00075,GEN13
CNT00075,GEN09
CNT00076,GEN03
CNT00076,GEN11
CNT00077,GEN09
CNT00078,GEN09
CNT00079,GEN07
CNT00079,GEN04
CNT00080,GEN13
CNT00080,GEN12
CNT00080,GEN14
CNT00081,GEN05
CNT00082,GEN11
CNT00083,GEN08
CNT00083,GEN09
CNT00084,GEN04
CNT00085,GEN06
CNT00086,GEN09
CNT00087,GEN04
CNT00088,GEN12
CNT00089,GEN04
CNT00089,GEN02
CNT00090,GEN14
CNT00090,GEN06
CNT00090,GEN02
CNT00091,GEN05
CNT00092,GEN04
CNT00092,GEN09
CNT00093,GEN15
CNT00094,GEN10
CNT00094,GEN08
CNT00095,GEN08
CNT00096,GEN04
CNT00096,GEN02
CNT00097,GEN07
CNT00098,GEN07
CNT00099,GEN12
CNT00100,GEN11
CNT00101,GEN02
CNT00101,GEN01
CNT00101,GEN07
CNT00102,GEN13
CNT00102,GEN14
CNT00103,GEN04
CNT00104,GEN08
CNT00105,GEN03
CNT00106,GEN04
CNT00107,GEN02
CNT00107,GEN08
CNT00108,GEN14
CNT00108,GEN09
CNT00109,GEN11
CNT00110,GEN14
CNT00110,GEN01
CNT00110,GEN02
CNT00111,GEN14
CNT00111,GEN04
CNT00111,GEN03
CNT00112,GEN08
CNT00113,GEN07
CNT00114,GEN03
CNT00114,GEN07
CNT00114,GEN01
CNT00115,GEN05
CNT00115,GEN13
CNT00115,GEN14
CNT00116,GEN07
CNT00117,GEN12
CNT00117,GEN13
CNT00118,GEN12
CNT00118,GEN08
CNT00119,GEN05
CNT00120,GEN01
CNT00121,GEN09
CNT00121,GEN01
CNT00122,GEN01
CNT00122,GEN15
CNT00123,GEN09
CNT00123,GEN14
CNT00124,GEN01
CNT00125,GEN02
CNT00125,GEN14
CNT00125,GEN03
CNT00126,GEN02
CNT00127,GEN04
CNT00127,GEN07
CNT00128,GEN15
CNT00129,GEN10
CNT00129,GEN15
CNT00130,GEN02
CNT00131,GEN10
CNT00132,GEN06
CNT00132,GEN05
CNT00133,GEN12
CNT00134,GEN05
CNT00135,GEN11
CNT00136,GEN08
CNT00136,GEN06
CNT00137,GEN15
CNT00137,GEN02
CNT00137,GEN01
CNT00138,GEN10
CNT00139,GEN02
CNT00139,GEN09
CNT00139,GEN04
CNT00140,GEN03
CNT00141,GEN15
CNT00141,GEN02
CNT00141,GEN04
CNT00142,GEN03
CNT00143,GEN09
CNT00144,GEN10
CNT00144,GEN13
CNT00145,GEN01
CNT00145,GEN11
CNT00146,GEN05
CNT00146,GEN11
CNT00147,GEN15
CNT00148,GEN02
CNT00149,GEN12
CNT00149,GEN09
CNT00150,GEN05
CNT00151,GEN12
CNT00151,GEN06
CNT00152,GEN11
CNT00153,GEN09
CNT00153,GEN08
CNT00154,GEN15
CNT00155,GEN02
CNT00155,GEN11
CNT00156,GEN05
CNT00157,GEN06
CNT00158,GEN11
CNT00158,GEN05
CNT00159,GEN08
CNT00160,GEN07
CNT00160,GEN09
CNT00161,GEN02
CNT00162,GEN12
CNT00162,GEN03
CNT00162,GEN09
CNT00163,GEN06
CNT00164,GEN03
CNT00164,GEN07
CNT00165,GEN05
CNT00166,GEN15
CNT00167,GEN14
CNT00167,GEN01
CNT00168,GEN04
CNT00168,GEN11
CNT00169,GEN02
CNT00170,GEN09
CNT00171,GEN07
CNT00171,GEN10
CNT00172,GEN15
CNT00172,GEN04
CNT00173,GEN13
CNT00173,GEN15
CNT00174,GEN07
CNT00175,GEN12
CNT00176,GEN13
CNT00176,GEN07
CNT00176,GEN15
CNT00177,GEN12
CNT00177,GEN13
CNT00178,GEN03
CNT00179,GEN02
CNT00179,GEN07
CNT00180,GEN14
CNT00180,GEN08
CNT00181,GEN14
CNT00182,GEN06
CNT00182,GEN05
CNT00182,GEN13
CNT00183,GEN04
CNT00183,GEN01
CNT00184,GEN07
CNT00184,GEN06
CNT00185,GEN02
CNT00186,GEN05
CNT00186,GEN06
CNT00186,GEN11
CNT00187,GEN11
CNT00188,GEN09
CNT00188,GEN06
CNT00188,GEN01
CNT00189,GEN05
CNT00190,GEN05
CNT00191,GEN10
CNT00192,GEN12
CNT00193,GEN07
CNT00193,GEN10
CNT00194,GEN02
CNT00194,GEN07
CNT00194,GEN10
CNT00195,GEN01
CNT00196,GEN01
CNT00196,GEN09
CNT00197,GEN09
CNT00197,GEN11
CNT00197,GEN12
CNT00198,GEN12
CNT00198,GEN11
CNT00198,GEN04
CNT00199,GEN02
CNT00200,GEN15
CNT00200,GEN06
CNT00200,GEN10
CNT00201,GEN14
CNT00202,GEN15
CNT00203,GEN05
CNT00204,GEN06
CNT00204,GEN07
CNT00205,GEN09
CNT00205,GEN03
CNT00206,GEN11
CNT00207,GEN11
CNT00207,GEN12
CNT00207,GEN03
CNT00208,GEN05
CNT00208,GEN07
CNT00209,GEN01
CNT00210,GEN04
CNT00211,GEN10
CNT00212,GEN06
CNT00212,GEN08
CNT00213,GEN11
CNT00214,GEN08
CNT00215,GEN13
CNT00215,GEN12
CNT00216,GEN02
CNT00217,GEN11
CNT00218,GEN06
CNT00218,GEN02
CNT00219,GEN13
CNT00219,GEN04
CNT00220,GEN04
CNT00220,GEN13
CNT00221,GEN01
CNT00222,GEN08
CNT00223,GEN13
CNT00223,GEN02
CNT00224,GEN15
CNT00225,GEN04
CNT00225,GEN12
CNT00226,GEN08
CNT00226,GEN07
CNT00227,GEN11
CNT00228,GEN15
CNT00228,GEN13
CNT00229,GEN15
CNT00229,GEN02
CNT00230,GEN04
CNT00230,GEN03
CNT00231,GEN12
CNT00231,GEN09
CNT00232,GEN09
CNT00233,GEN14
CNT00234,GEN03
CNT00235,GEN11
CNT00235,GEN09
CNT00236,GEN10
CNT00236,GEN06
CNT00236,GEN13
CNT00237,GEN10
CNT00237,GEN14
CNT00238,GEN09
CNT00238,GEN07
CNT00239,GEN09
CNT00239,GEN08
CNT00240,GEN12
CNT00240,GEN14
CNT00241,GEN05
CNT00242,GEN14
CNT00242,GEN11
CNT00243,GEN13
CNT00244,GEN11
CNT00245,GEN08
CNT00246,GEN05
CNT00247,GEN06
CNT00248,GEN09
CNT00249,GEN03
CNT00250,GEN12
CNT00251,GEN04
CNT00252,GEN07
CNT00253,GEN08
CNT00254,GEN04
CNT00255,GEN07
CNT00255,GEN13
CNT00256,GEN12
CNT00256,GEN01
CNT00257,GEN13
CNT00257,GEN10
CNT00258,GEN01
CNT00259,GEN05
CNT00259,GEN13
CNT00259,GEN07
CNT00260,GEN14
CNT00260,GEN07
CNT00261,GEN12
CNT00262,GEN10
CNT00263,GEN08
CNT00263,GEN04
CNT00264,GEN08
CNT00265,GEN06
CNT00266,GEN13
CNT00266,GEN07
CNT00267,GEN14
CNT00267,GEN08
CNT00268,GEN10
CNT00268,GEN09
CNT00268,GEN01
CNT00269,GEN10
CNT00269,GEN15
CNT00269,GEN11
CNT00270,GEN11
CNT00271,GEN14
CNT00272,GEN01
CNT00273,GEN06
CNT00274,GEN06
CNT00275,GEN15
CNT00276,GEN13
CNT00277,GEN07
CNT00277,GEN05
CNT00277,GEN02
CNT00278,GEN12
CNT00279,GEN06
CNT00280,GEN02
CNT00281,GEN11
CNT00281,GEN01
CNT00282,GEN04
CNT00282,GEN15
CNT00283,GEN10
CNT00283,GEN03
CNT00284,GEN08
CNT00285,GEN10
CNT00285,GEN04
CNT00286,GEN05
CNT00287,GEN03
CNT00287,GEN10
CNT00288,GEN12
CNT00288,GEN15
CNT00289,GEN14
CNT00290,GEN05
CNT00291,GEN01
CNT00292,GEN10
CNT00292,GEN11
CNT00292,GEN07
CNT00293,GEN12
CNT00294,GEN10
CNT00295,GEN11
CNT00295,GEN04
CNT00296,GEN13
CNT00297,GEN11
CNT00298,GEN02
CNT00298,GEN13
CNT00299,GEN13
CNT00299,GEN01
CNT00299,GEN06
CNT00300,GEN11
CNT00301,GEN09
CNT00302,GEN01
CNT00302,GEN14
CNT00303,GEN08
CNT00304,GEN06
CNT00305,GEN14
CNT00305,GEN08
CNT00306,GEN07
CNT00306,GEN03
CNT00307,GEN11
CNT00307,GEN05
CNT00308,GEN15
CNT00308,GEN09
CNT00309,GEN08
CNT00309,GEN07
CNT00310,GEN10
CNT00310,GEN05
CNT00311,GEN04
CNT00312,GEN02
CNT00312,GEN05
CNT00313,GEN04
CNT00313,GEN13
CNT00314,GEN10
CNT00315,GEN06
CNT00315,GEN01
CNT00316,GEN06
CNT00317,GEN04
CNT00318,GEN05
CNT00319,GEN15
CNT00320,GEN15
CNT00320,GEN05
CNT00321,GEN09
CNT00321,GEN04
CNT00322,GEN12
CNT00323,GEN09
CNT00324,GEN12
CNT00324,GEN08
CNT00325,GEN08
CNT00325,GEN15
CNT00326,GEN02
CNT00326,GEN05
CNT00327,GEN12
CNT00328,GEN11
CNT00329,GEN08
CNT00329,GEN09
CNT00330,GEN07
CNT00331,GEN09
CNT00331,GEN06
CNT00331,GEN14
CNT00332,GEN05
CNT00332,GEN15
CNT00333,GEN02
CNT00334,GEN06
CNT00334,GEN02
CNT00335,GEN13
CNT00335,GEN12
CNT00336,GEN04
CNT00337,GEN05
CNT00337,GEN12
CNT00338,GEN13
CNT00338,GEN09
CNT00339,GEN02
CNT00339,GEN14
CNT00340,GEN04
CNT00341,GEN05
CNT00342,GEN09
CNT00343,GEN01
CNT00344,GEN09
CNT00344,GEN05
CNT00344,GEN12
CNT00345,GEN11
CNT00345,GEN14
CNT00345,GEN13
CNT00346,GEN14
CNT00347,GEN05
CNT00348,GEN08
CNT00349,GEN01
CNT00350,GEN14
CNT00351,GEN14
CNT00352,GEN08
CNT00353,GEN11
CNT00354,GEN03
CNT00354,GEN15
CNT00355,GEN05
CNT00355,GEN02
CNT00356,GEN02
CNT00356,GEN09
CNT00356,GEN13
CNT00357,GEN10
CNT00358,GEN04
CNT00358,GEN13
CNT00359,GEN08
CNT00360,GEN05
CNT00360,GEN14
CNT00360,GEN10
CNT00361,GEN05
CNT00361,GEN10
CNT00361,GEN14
CNT00362,GEN12
CNT00363,GEN13
CNT00364,GEN04
CNT00365,GEN02
CNT00366,GEN03
CNT00367,GEN03
CNT00367,GEN01
CNT00368,GEN12
CNT00369,GEN05
CNT00369,GEN01
CNT00370,GEN12
CNT00371,GEN14
CNT00372,GEN11
CNT00373,GEN05
CNT00374,GEN11
CNT00374,GEN10
CNT00375,GEN15
CNT00375,GEN04
CNT00376,GEN09
CNT00377,GEN03
CNT00378,GEN14
CNT00378,GEN03
CNT00378,GEN02
CNT00379,GEN13
CNT00380,GEN12
CNT00381,GEN15
CNT00381,GEN05
CNT00382,GEN08
CNT00383,GEN12
CNT00383,GEN07
CNT00384,GEN09
CNT00384,GEN15
CNT00384,GEN08
CNT00385,GEN10
CNT00386,GEN07
CNT00387,GEN10
CNT00387,GEN05
CNT00388,GEN04
CNT00389,GEN14
CNT00389,GEN15
CNT00389,GEN10
CNT00390,GEN01
CNT00390,GEN13
CNT00391,GEN05
CNT00391,GEN10
CNT00392,GEN13
CNT00393,GEN09
CNT00394,GEN15
CNT00394,GEN05
CNT00395,GEN10
CNT00396,GEN14
CNT00397,GEN02
CNT00398,GEN07
CNT00399,GEN11
CNT00400,GEN03
CNT00401,GEN12
CNT00402,GEN11
CNT00403,GEN14
CNT00403,GEN13
CNT00403,GEN09
CNT00404,GEN02
CNT00405,GEN06
CNT00406,GEN13
CNT00407,GEN09
CNT00408,GEN01
CNT00408,GEN11
CNT00409,GEN08
CNT00409,GEN07
CNT00410,GEN09
CNT00411,GEN13
CNT00412,GEN08
CNT00413,GEN04
CNT00413,GEN05
CNT00414,GEN15
CNT00415,GEN15
CNT00416,GEN02
CNT00416,GEN01
CNT00417,GEN10
CNT00417,GEN13
CNT00417,GEN04
CNT00418,GEN05
CNT00418,GEN09
CNT00419,GEN07
CNT00420,GEN14
CNT00421,GEN08
CNT00421,GEN02
CNT00421,GEN11
CNT00422,GEN08
CNT00422,GEN12
CNT00423,GEN12
CNT00424,GEN14
CNT00425,GEN08
CNT00426,GEN09
CNT00427,GEN04
CNT00428,GEN09
CNT00428,GEN12
CNT00428,GEN03
CNT00429,GEN05
CNT00429,GEN13
CNT00430,GEN07
CNT00430,GEN06
CNT00431,GEN09
CNT00431,GEN05
CNT00431,GEN01
CNT00432,GEN05
CNT00433,GEN10
CNT00433,GEN11
CNT00434,GEN03
CNT00435,GEN08
CNT00436,GEN09
CNT00437,GEN07
CNT00437,GEN08
CNT00438,GEN14
CNT00438,GEN04
CNT00438,GEN12
CNT00439,GEN07
CNT00440,GEN13
CNT00441,GEN06
CNT00442,GEN12
CNT00442,GEN13
CNT00443,GEN11
CNT00444,GEN11
CNT00444,GEN03
CNT00445,GEN01
CNT00446,GEN10
CNT00447,GEN02
CNT00448,GEN08
CNT00448,GEN02
CNT00449,GEN08
CNT00450,GEN03
CNT00451,GEN11
CNT00452,GEN02
CNT00452,GEN08
CNT00452,GEN13
CNT00453,GEN06
CNT00453,GEN10
CNT00453,GEN12
CNT00454,GEN02
CNT00455,GEN14
CNT00455,GEN11
CNT00456,GEN07
CNT00456,GEN06
CNT00457,GEN15
CNT00457,GEN13
CNT00458,GEN09
CNT00459,GEN02
CNT00460,GEN11
CNT00461,GEN04
CNT00461,GEN12
CNT00461,GEN02
CNT00462,GEN02
CNT00463,GEN12
CNT00463,GEN14
CNT00464,GEN03
CNT00465,GEN15
CNT00465,GEN01
CNT00466,GEN13
CNT00467,GEN06
CNT00468,GEN03
CNT00469,GEN07
CNT00470,GEN13
CNT00470,GEN03
CNT00471,GEN02
CNT00472,GEN07
CNT00472,GEN10
CNT00473,GEN08
CNT00473,GEN10
CNT00474,GEN08
CNT00475,GEN08
CNT00475,GEN05
CNT00476,GEN15
CNT00476,GEN13
CNT00477,GEN05
CNT00478,GEN03
CNT00478,GEN02
CNT00479,GEN06
CNT00480,GEN05
CNT00480,GEN11
CNT00480,GEN07
CNT00481,GEN08
CNT00481,GEN14
CNT00482,GEN07
CNT00483,GEN02
CNT00483,GEN04
CNT00484,GEN06
CNT00485,GEN12
CNT00485,GEN05
CNT00486,GEN14
CNT00487,GEN05
CNT00487,GEN01
CNT00488,GEN11
CNT00488,GEN13
CNT00489,GEN01
CNT00489,GEN10
CNT00490,GEN14
CNT00490,GEN05
CNT00491,GEN04
CNT00491,GEN10
CNT00492,GEN04
CNT00492,GEN11
CNT00493,GEN05
CNT00494,GEN12
CNT00494,GEN13
CNT00495,GEN14
CNT00495,GEN03
CNT00496,GEN15
CNT00496,GEN11
CNT00497,GEN05
CNT00497,GEN13
CNT00498,GEN10
CNT00499,GEN03
CNT00500,GEN05
CNT00501,GEN07
CNT00502,GEN03
CNT00503,GEN15
CNT00503,GEN06
CNT00504,GEN15
CNT00505,GEN03
CNT00506,GEN14
CNT00507,GEN13
CNT00507,GEN05
CNT00507,GEN12
CNT00508,GEN13
CNT00508,GEN02
CNT00509,GEN02
CNT00510,GEN04
CNT00511,GEN12
CNT00511,GEN11
CNT00512,GEN14
CNT00512,GEN13
CNT00512,GEN09
CNT00513,GEN13
CNT00514,GEN05
CNT00515,GEN08
CNT00516,GEN12
CNT00517,GEN10
CNT00517,GEN07
CNT00518,GEN06
CNT00518,GEN02
CNT00519,GEN08
CNT00519,GEN01
CNT00520,GEN09
CNT00520,GEN06
CNT00521,GEN04
CNT00521,GEN11
CNT00521,GEN02
CNT00522,GEN08
CNT00522,GEN12
CNT00523,GEN07
CNT00524,GEN01
CNT00525,GEN05
CNT00525,GEN08
CNT00525,GEN02
CNT00526,GEN15
CNT00527,GEN07
CNT00528,GEN11
CNT00529,GEN12
CNT00529,GEN09
CNT00529,GEN07
CNT00530,GEN12
CNT00530,GEN03
CNT00531,GEN11
CNT00531,GEN02
CNT00532,GEN10
CNT00532,GEN07
CNT00533,GEN05
CNT00533,GEN01
CNT00533,GEN12
CNT00534,GEN08
CNT00535,GEN04
CNT00536,GEN02
CNT00536,GEN11
CNT00537,GEN15
CNT00538,GEN06
CNT00538,GEN01
CNT00538,GEN07
CNT00539,GEN02
CNT00540,GEN14
CNT00540,GEN08
CNT00540,GEN02
CNT00541,GEN11
CNT00541,GEN15
CNT00542,GEN01
CNT00542,GEN15
CNT00543,GEN04
CNT00543,GEN03
CNT00544,GEN04
CNT00544,GEN02
CNT00545,GEN09
CNT00545,GEN04
CNT00546,GEN14
CNT00546,GEN15
CNT00547,GEN13
CNT00548,GEN15
CNT00549,GEN05
CNT00549,GEN14
CNT00550,GEN03
CNT00550,GEN09
CNT00550,GEN05
CNT00551,GEN02
CNT00551,GEN11
CNT00552,GEN03
CNT00552,GEN01
CNT00553,GEN13
CNT00554,GEN06
CNT00555,GEN05
CNT00556,GEN12
CNT00557,GEN02
CNT00558,GEN08
CNT00558,GEN15
CNT00559,GEN09
CNT00559,GEN10
CNT00560,GEN09
CNT00561,GEN10
CNT00562,GEN13
CNT00563,GEN11
CNT00563,GEN09
CNT00563,GEN05
CNT00564,GEN01
CNT00565,GEN08
CNT00566,GEN07
CNT00566,GEN11
CNT00567,GEN12
CNT00568,GEN02
CNT00568,GEN15
CNT00568,GEN06
CNT00569,GEN02
CNT00569,GEN03
CNT00570,GEN11
CNT00571,GEN12
CNT00571,GEN06
CNT00572,GEN10
CNT00573,GEN08
CNT00574,GEN07
CNT00575,GEN12
CNT00576,GEN11
CNT00577,GEN13
CNT00577,GEN09
CNT00578,GEN04
