device_id,user_id,device_type,operating_system,registered_date
DEV000001,USR000001,Laptop,iOS,2025-11-13
DEV000002,USR000002,Smart TV,Android,2025-10-15
DEV000003,USR000003,Gaming Console,Windows,2025-01-05
DEV000004,USR000003,Smart TV,Windows,2025-02-28
DEV000005,USR000004,Smart TV,Android,2025-08-17
DEV000006,USR000004,Tablet,Smart TV OS,2025-05-04
DEV000007,USR000005,Streaming Stick,Windows,2025-11-11
DEV000008,USR000005,Mobile,Android,2025-11-15
DEV000009,USR000006,Tablet,Windows,2025-01-21
DEV000010,USR000007,Mobile,Android,2025-06-14
DEV000011,USR000007,Mobile,Android,2025-07-15
DEV000012,USR000008,Laptop,Windows,2025-02-28
DEV000013,USR000008,Smart TV,iOS,2025-07-17
DEV000014,USR000009,Smart TV,Android,2025-05-25
DEV000015,USR000010,Mobile,iOS,2025-09-22
DEV000016,USR000011,Laptop,iOS,2025-07-11
DEV000017,USR000011,Smart TV,Windows,2025-09-21
DEV000018,USR000012,Gaming Console,Android,2025-08-17
DEV000019,USR000012,Smart TV,macOS,2025-09-07
DEV000020,USR000013,Smart TV,iOS,2025-04-09
DEV000021,USR000014,Smart TV,Windows,2025-02-12
DEV000022,USR000015,Mobile,iOS,2025-03-27
DEV000023,USR000015,Smart TV,Smart TV OS,2025-10-03
DEV000024,USR000015,Smart TV,Android,2025-10-01
DEV000025,USR000016,Mobile,macOS,2025-02-03
DEV000026,USR000017,Gaming Console,Android,2025-11-19
DEV000027,USR000018,Gaming Console,Smart TV OS,2025-08-06
DEV000028,USR000018,Streaming Stick,Smart TV OS,2025-02-23
DEV000029,USR000019,Tablet,iOS,2025-08-11
DEV000030,USR000020,Tablet,iOS,2025-02-06
DEV000031,USR000020,Mobile,Android,2025-03-20
DEV000032,USR000021,Mobile,Android,2025-06-19
DEV000033,USR000022,Mobile,iOS,2025-02-07
DEV000034,USR000023,Laptop,Android,2025-05-09
DEV000035,USR000024,Laptop,iOS,2025-10-22
DEV000036,USR000025,Tablet,Smart TV OS,2025-05-13
DEV000037,USR000025,Smart TV,Smart TV OS,2025-07-28
DEV000038,USR000026,Mobile,Android,2025-11-19
DEV000039,USR000027,Smart TV,Windows,2025-06-11
DEV000040,USR000028,Mobile,Windows,2025-03-02
DEV000041,USR000029,Mobile,Android,2025-11-25
DEV000042,USR000030,Mobile,Smart TV OS,2025-02-02
DEV000043,USR000030,Mobile,Android,2025-10-27
DEV000044,USR000031,Mobile,Android,2025-02-07
DEV000045,USR000032,Mobile,macOS,2025-09-15
DEV000046,USR000033,Smart TV,Smart TV OS,2025-06-04
DEV000047,USR000034,Mobile,Windows,2025-05-25
DEV000048,USR000034,Mobile,Android,2025-08-13
DEV000049,USR000035,Smart TV,iOS,2025-01-16
DEV000050,USR000036,Mobile,Windows,2025-10-01
DEV000051,USR000037,Mobile,iOS,2025-07-20
DEV000052,USR000038,Tablet,Android,2025-10-07
DEV000053,USR000038,Mobile,Android,2025-06-01
DEV000054,USR000039,Streaming Stick,macOS,2025-03-15
DEV000055,USR000039,Tablet,Android,2025-06-02
DEV000056,USR000039,Streaming Stick,Android,2025-07-11
DEV000057,USR000040,Mobile,Android,2025-01-06
DEV000058,USR000040,Streaming Stick,Smart TV OS,2025-10-11
DEV000059,USR000040,Mobile,Smart TV OS,2025-10-12
DEV000060,USR000041,Smart TV,Smart TV OS,2025-01-22
DEV000061,USR000042,Mobile,Windows,2025-11-02
DEV000062,USR000043,Mobile,Windows,2025-10-08
DEV000063,USR000044,Smart TV,Windows,2025-06-06
DEV000064,USR000044,Mobile,iOS,2025-04-18
DEV000065,USR000044,Mobile,iOS,2025-06-26
DEV000066,USR000045,Mobile,Android,2025-11-27
DEV000067,USR000046,Tablet,Windows,2025-03-14
DEV000068,USR000046,Laptop,Android,2025-03-24
DEV000069,USR000047,Tablet,macOS,2025-11-12
DEV000070,USR000048,Tablet,Windows,2025-04-10
DEV000071,USR000048,Mobile,Smart TV OS,2025-02-28
DEV000072,USR000049,Laptop,Android,2025-10-18
DEV000073,USR000050,Mobile,Windows,2025-10-09
DEV000074,USR000050,Mobile,macOS,2025-08-25
DEV000075,USR000051,Mobile,iOS,2025-02-07
DEV000076,USR000051,Mobile,iOS,2025-05-29
DEV000077,USR000052,Mobile,Windows,2025-05-09
DEV000078,USR000052,Streaming Stick,macOS,2025-02-20
DEV000079,USR000053,Smart TV,iOS,2025-10-25
DEV000080,USR000054,Mobile,Android,2025-06-19
DEV000081,USR000055,Laptop,Android,2025-05-01
DEV000082,USR000056,Smart TV,iOS,2025-11-14
DEV000083,USR000057,Smart TV,iOS,2025-04-10
DEV000084,USR000058,Mobile,Android,2025-08-19
