payment_id,subscription_id,user_id,payment_date,amount_inr,payment_method,payment_status
PAY0000001,SUB000001,USR000001,2025-05-17,499,UPI,Success
PAY0000002,SUB000001,USR000001,2025-06-16,499,UPI,Success
PAY0000003,SUB000001,USR000001,2025-07-16,499,Debit Card,Success
PAY0000004,SUB000001,USR000001,2025-08-15,499,Credit Card,Success
PAY0000005,SUB000001,USR000001,2025-09-14,499,Wallet,Success
PAY0000006,SUB000002,USR000002,2025-04-09,299,Net Banking,Success
PAY0000007,SUB000002,USR000002,2025-05-09,299,UPI,Success
PAY0000008,SUB000002,USR000002,2025-06-08,299,Credit Card,Success
PAY0000009,SUB000002,USR000002,2025-07-08,299,Debit Card,Success
PAY0000010,SUB000002,USR000002,2025-08-07,299,UPI,Failed
PAY0000011,SUB000002,USR000002,2025-09-06,299,Credit Card,Success
PAY0000012,SUB000002,USR000002,2025-10-06,299,Wallet,Success
PAY0000013,SUB000002,USR000002,2025-11-05,299,UPI,Success
PAY0000014,SUB000002,USR000002,2025-12-05,299,Debit Card,Success
PAY0000015,SUB000003,USR000003,2025-06-03,799,Wallet,Success
PAY0000016,SUB000003,USR000003,2025-07-03,799,UPI,Success
PAY0000017,SUB000003,USR000003,2025-08-02,799,Credit Card,Success
PAY0000018,SUB000003,USR000003,2025-09-01,799,Wallet,Success
PAY0000019,SUB000003,USR000003,2025-10-01,799,UPI,Success
PAY0000020,SUB000004,USR000003,2025-10-28,499,Debit Card,Success
PAY0000021,SUB000004,USR000003,2025-11-27,499,UPI,Success
PAY0000022,SUB000004,USR000003,2025-12-27,499,UPI,Success
PAY0000023,SUB000005,USR000004,2025-03-04,799,Debit Card,Success
PAY0000024,SUB000005,USR000004,2025-04-03,799,Wallet,Success
PAY0000025,SUB000005,USR000004,2025-05-03,799,Debit Card,Success
PAY0000026,SUB000005,USR000004,2025-06-02,799,UPI,Success
PAY0000027,SUB000005,USR000004,2025-07-02,799,UPI,Success
PAY0000028,SUB000005,USR000004,2025-08-01,799,Credit Card,Success
PAY0000029,SUB000005,USR000004,2025-08-31,799,UPI,Success
PAY0000030,SUB000005,USR000004,2025-09-30,799,Net Banking,Success
PAY0000031,SUB000005,USR000004,2025-10-30,799,UPI,Success
PAY0000032,SUB000005,USR000004,2025-11-29,799,Debit Card,Success
PAY0000033,SUB000005,USR000004,2025-12-29,799,UPI,Success
PAY0000034,SUB000006,USR000005,2025-08-02,799,UPI,Success
PAY0000035,SUB000006,USR000005,2025-09-01,799,Wallet,Success
PAY0000036,SUB000006,USR000005,2025-10-01,799,UPI,Failed
PAY0000037,SUB000006,USR000005,2025-10-31,799,Wallet,Success
PAY0000038,SUB000006,USR000005,2025-11-30,799,Credit Card,Success
PAY0000039,SUB000007,USR000006,2025-02-14,799,Debit Card,Success
PAY0000040,SUB000007,USR000006,2025-03-16,799,Credit Card,Success
PAY0000041,SUB000007,USR000006,2025-04-15,799,Credit Card,Success
PAY0000042,SUB000007,USR000006,2025-05-15,799,UPI,Success
PAY0000043,SUB000007,USR000006,2025-06-14,799,UPI,Success
PAY0000044,SUB000008,USR000006,2025-06-18,149,Credit Card,Failed
PAY0000045,SUB000008,USR000006,2025-07-18,149,UPI,Success
PAY0000046,SUB000008,USR000006,2025-08-17,149,UPI,Success
PAY0000047,SUB000008,USR000006,2025-09-16,149,UPI,Success
PAY0000048,SUB000009,USR000007,2025-07-09,499,Wallet,Success
PAY0000049,SUB000009,USR000007,2025-08-08,499,UPI,Success
PAY0000050,SUB000009,USR000007,2025-09-07,499,UPI,Success
PAY0000051,SUB000009,USR000007,2025-10-07,499,UPI,Success
PAY0000052,SUB000009,USR000007,2025-11-06,499,Debit Card,Success
PAY0000053,SUB000009,USR000007,2025-12-06,499,UPI,Success
PAY0000054,SUB000010,USR000008,2025-03-12,299,UPI,Success
PAY0000055,SUB000010,USR000008,2025-04-11,299,UPI,Success
PAY0000056,SUB000010,USR000008,2025-05-11,299,UPI,Success
PAY0000057,SUB000010,USR000008,2025-06-10,299,UPI,Success
PAY0000058,SUB000011,USR000008,2025-07-07,299,Net Banking,Success
PAY0000059,SUB000011,USR000008,2025-08-06,299,Debit Card,Success
PAY0000060,SUB000011,USR000008,2025-09-05,299,Debit Card,Success
PAY0000061,SUB000011,USR000008,2025-10-05,299,Credit Card,Success
PAY0000062,SUB000012,USR000009,2025-03-22,799,UPI,Success
PAY0000063,SUB000012,USR000009,2025-04-21,799,Credit Card,Success
PAY0000064,SUB000012,USR000009,2025-05-21,799,Credit Card,Success
