subscription_id,user_id,plan_name,monthly_price_inr,start_date,end_date,status,auto_renew
SUB000001,USR000001,Standard,499,2025-05-17,2025-09-22,Cancelled,False
SUB000002,USR000002,Basic,299,2025-04-09,2026-01-01,Active,False
SUB000003,USR000003,Premium,799,2025-06-03,2025-10-27,Expired,True
SUB000004,USR000003,Standard,499,2025-10-28,2026-01-01,Active,True
SUB000005,USR000004,Premium,799,2025-03-04,2026-01-01,Active,True
SUB000006,USR000005,Premium,799,2025-08-02,2025-12-16,Cancelled,False
SUB000007,USR000006,Premium,799,2025-02-14,2025-06-17,Expired,False
SUB000008,USR000006,Mobile,149,2025-06-18,2025-09-18,Cancelled,True
SUB000009,USR000007,Standard,499,2025-07-09,2026-01-01,Active,True
SUB000010,USR000008,Basic,299,2025-03-12,2025-07-06,Cancelled,True
SUB000011,USR000008,Basic,299,2025-07-07,2025-10-14,Expired,False
SUB000012,USR000009,Premium,799,2025-03-22,2025-11-18,Expired,True
SUB000013,USR000010,Basic,299,2025-05-30,2026-01-01,Active,True
SUB000014,USR000011,Mobile,149,2025-07-25,2025-11-24,Expired,True
SUB000015,USR000012,Standard,499,2025-02-04,2025-10-03,Cancelled,True
SUB000016,USR000013,Standard,499,2025-05-17,2025-10-05,Cancelled,True
SUB000017,USR000014,Basic,299,2025-04-19,2026-01-01,Active,True
SUB000018,USR000015,Basic,299,2025-02-22,2026-01-01,Active,True
SUB000019,USR000016,Basic,299,2025-05-18,2026-01-01,Active,True
SUB000020,USR000017,Mobile,149,2025-02-22,2026-01-01,Active,False
SUB000021,USR000018,Standard,499,2025-05-03,2025-10-12,Expired,False
SUB000022,USR000019,Standard,499,2025-03-09,2025-11-28,Cancelled,True
SUB000023,USR000019,Basic,299,2025-11-29,2026-01-01,Active,False
SUB000024,USR000020,Standard,499,2025-03-25,2025-07-04,Expired,False
SUB000025,USR000020,Premium,799,2025-07-05,2025-12-09,Expired,True
SUB000026,USR000021,Mobile,149,2025-04-09,2026-01-01,Active,True
SUB000027,USR000022,Basic,299,2025-06-01,2025-11-01,Expired,True
SUB000028,USR000023,Basic,299,2025-02-28,2025-08-01,Cancelled,True
SUB000029,USR000024,Basic,299,2025-04-30,2026-01-01,Active,True
SUB000030,USR000025,Basic,299,2025-03-21,2026-01-01,Active,True
SUB000031,USR000026,Mobile,149,2025-03-17,2026-01-01,Active,True
