user_id,country,language,signup_date,acquisition_channel,age_group,account_status
USR000001,United States,German,2025-05-17,Paid Ads,25-34,Active
USR000002,United States,Spanish,2025-04-09,Organic Search,45-54,Active
USR000003,United States,Portuguese,2025-06-03,Organic Search,55+,Active
USR000004,India,English,2025-03-04,Social Media,18-24,Inactive
USR000005,UAE,Telugu,2025-08-02,Referral,55+,Active
USR000006,United Kingdom,French,2025-02-14,Social Media,25-34,Active
USR000007,United States,German,2025-07-09,Social Media,55+,Inactive
USR000008,United States,English,2025-03-12,Social Media,45-54,Inactive
USR000009,Singapore,German,2025-03-22,Social Media,45-54,Active
USR000010,Australia,Bengali,2025-05-30,Partner Bundle,25-34,Active
USR000011,India,Tamil,2025-07-25,Social Media,18-24,Active
USR000012,United States,Hindi,2025-02-04,Partner Bundle,25-34,Active
USR000013,India,Hindi,2025-05-17,Organic Search,25-34,Inactive
USR000014,Brazil,Portuguese,2025-04-19,App Store,25-34,Inactive
USR000015,United States,English,2025-02-22,Paid Ads,55+,Inactive
USR000016,India,Hindi,2025-05-18,Paid Ads,18-24,Active
USR000017,United States,Bengali,2025-02-22,Social Media,35-44,Active
USR000018,India,Tamil,2025-05-03,App Store,25-34,Active
USR000019,United Kingdom,Spanish,2025-03-09,Referral,18-24,Active
USR000020,India,Spanish,2025-03-25,Organic Search,25-34,Active
USR000021,India,Portuguese,2025-04-09,Social Media,55+,Active
USR000022,India,Hindi,2025-06-01,Organic Search,45-54,Active
USR000023,India,German,2025-02-28,Referral,35-44,Inactive
USR000024,United States,Telugu,2025-04-30,Paid Ads,18-24,Active
USR000025,France,Tamil,2025-03-21,Social Media,18-24,Active
USR000026,India,English,2025-03-17,Organic Search,35-44,Inactive
USR000027,India,Spanish,2025-05-19,Paid Ads,35-44,Active
USR000028,Germany,German,2025-03-19,Organic Search,55+,Active
USR000029,UAE,Spanish,2025-03-17,Partner Bundle,25-34,Active
USR000030,United States,Spanish,2025-04-20,App Store,35-44,Inactive
USR000031,India,German,2025-02-12,App Store,25-34,Active
USR000032,Germany,Bengali,2025-03-23,Social Media,18-24,Active
USR000033,India,Bengali,2025-05-01,Paid Ads,25-34,Active
USR000034,Singapore,Bengali,2025-01-19,Organic Search,25-34,Inactive
USR000035,UAE,Tamil,2025-02-16,Organic Search,25-34,Inactive
USR000036,United Kingdom,Portuguese,2025-03-24,Referral,25-34,Active
USR000037,India,German,2025-05-14,Referral,35-44,Active
USR000038,India,Telugu,2025-08-28,Paid Ads,35-44,Active
USR000039,Brazil,English,2025-03-09,Social Media,25-34,Active
USR000040,Germany,French,2025-01-29,Referral,25-34,Active
USR000041,India,English,2025-01-30,Organic Search,35-44,Inactive
USR000042,India,Hindi,2025-03-13,Referral,18-24,Active
USR000043,Canada,Tamil,2025-07-25,Paid Ads,45-54,Active
USR000044,Brazil,English,2025-01-26,Partner Bundle,55+,Active
USR000045,Australia,Portuguese,2025-04-01,Paid Ads,18-24,Active
USR000046,India,Tamil,2025-04-30,Partner Bundle,35-44,Active
USR000047,United States,Bengali,2025-03-02,Referral,25-34,Active
USR000048,India,Bengali,2025-05-31,Social Media,25-34,Active
USR000049,Singapore,Hindi,2025-06-27,App Store,25-34,Active
USR000050,India,Hindi,2025-02-07,Referral,25-34,Active
USR000051,Australia,Spanish,2025-05-19,Paid Ads,25-34,Active
USR000052,India,Bengali,2025-04-30,Partner Bundle,25-34,Inactive
USR000053,India,Bengali,2025-03-29,Paid Ads,25-34,Active
USR000054,Canada,German,2025-03-04,Organic Search,45-54,Active
USR000055,France,Hindi,2025-06-26,Organic Search,55+,Active
USR000056,India,French,2025-02-09,Organic Search,18-24,Inactive
USR000057,United States,French,2025-03-11,App Store,35-44,Inactive
USR000058,United Kingdom,Telugu,2025-05-13,Partner Bundle,35-44,Inactive
USR000059,Germany,French,2025-04-27,Paid Ads,25-34,Active
USR000060,Canada,Tamil,2025-06-23,Organic Search,35-44,Active
USR000061,India,Hindi,2025-02-23,Referral,45-54,Inactive
USR000062,United Kingdom,Hindi,2025-06-08,App Store,35-44,Inactive
USR000063,UAE,German,2025-05-01,Social Media,35-44,Inactive
USR000064,UAE,English,2025-04-22,Organic Search,18-24,Active
USR000065,United Kingdom,Hindi,2025-02-10,App Store,35-44,Active
USR000066,Brazil,Spanish,2025-05-09,Paid Ads,55+,Active
USR000067,India,Portuguese,2025-03-11,Referral,55+,Active
USR000068,United States,Portuguese,2025-10-11,App Store,25-34,Active
USR000069,Germany,Telugu,2025-02-21,App Store,45-54,Active
USR000070,India,German,2025-02-19,Paid Ads,35-44,Inactive
USR000071,Brazil,Hindi,2025-05-14,Partner Bundle,18-24,Active
USR000072,United States,Hindi,2025-01-15,Social Media,55+,Inactive
USR000073,United States,Bengali,2025-03-06,Paid Ads,35-44,Active
USR000074,India,Spanish,2025-04-10,App Store,18-24,Active
USR000075,India,Telugu,2025-04-11,Paid Ads,35-44,Active
USR000076,United Kingdom,Tamil,2025-01-28,Referral,35-44,Active
USR000077,United States,Tamil,2025-06-17,Paid Ads,25-34,Active
USR000078,India,Spanish,2025-07-21,Social Media,35-44,Active
USR000079,Germany,Tamil,2025-04-10,Social Media,55+,Inactive
USR000080,India,French,2025-01-26,Partner Bundle,25-34,Inactive
USR000081,France,English,2025-01-19,Organic Search,25-34,Active
USR000082,India,Bengali,2025-02-24,App Store,25-34,Active
USR000083,United States,Portuguese,2025-05-06,App Store,25-34,Active
USR000084,United States,Spanish,2025-02-15,Organic Search,45-54,Inactive
USR000085,United Kingdom,English,2025-02-14,Paid Ads,45-54,Active
USR000086,Germany,English,2025-05-05,Organic Search,18-24,Inactive
USR000087,Brazil,English,2025-03-31,Organic Search,18-24,Active
USR000088,India,Portuguese,2025-04-25,Partner Bundle,25-34,Active
USR000089,United Kingdom,German,2025-06-07,Social Media,25-34,Inactive
USR000090,United States,Spanish,2025-03-15,Organic Search,18-24,Active
USR000091,Brazil,Portuguese,2025-04-01,Referral,35-44,Active
USR000092,Germany,Portuguese,2025-03-09,Organic Search,35-44,Inactive
USR000093,United States,Tamil,2025-04-11,Social Media,25-34,Inactive
USR000094,United States,German,2025-04-03,Organic Search,25-34,Active
USR000095,India,English,2025-05-11,Organic Search,25-34,Active
USR000096,Germany,Tamil,2025-06-11,Referral,18-24,Inactive
USR000097,France,German,2025-05-27,Social Media,18-24,Active
USR000098,Brazil,Portuguese,2025-02-07,Organic Search,35-44,Active
USR000099,United Kingdom,Telugu,2025-03-23,Referral,25-34,Inactive
USR000100,Canada,Spanish,2025-03-08,Organic Search,35-44,Active
USR000101,United States,German,2025-04-02,Paid Ads,55+,Inactive
USR000102,United Kingdom,Tamil,2025-07-06,Organic Search,35-44,Active
USR000103,United States,Hindi,2025-02-19,Partner Bundle,55+,Active
USR000104,Australia,Telugu,2025-03-08,Paid Ads,35-44,Active
USR000105,India,Portuguese,2025-04-06,Partner Bundle,18-24,Active
USR000106,India,Portuguese,2025-03-19,Social Media,18-24,Inactive
USR000107,Australia,German,2025-03-04,Organic Search,35-44,Inactive
USR000108,Singapore,Bengali,2025-04-27,Organic Search,25-34,Active
USR000109,Canada,Portuguese,2025-04-13,Partner Bundle,25-34,Active
USR000110,Australia,Tamil,2025-03-08,Referral,35-44,Active
USR000111,France,French,2025-01-27,Organic Search,25-34,Active
USR000112,United States,French,2025-06-06,Referral,45-54,Active
USR000113,India,Spanish,2025-03-07,Social Media,25-34,Active
USR000114,Singapore,Portuguese,2025-08-24,Referral,18-24,Inactive
USR000115,Singapore,Tamil,2025-07-13,App Store,55+,Inactive
USR000116,United States,Bengali,2025-05-30,Organic Search,25-34,Active
USR000117,India,Hindi,2025-06-05,Social Media,25-34,Inactive
USR000118,UAE,French,2025-06-29,Social Media,45-54,Active
USR000119,Australia,Hindi,2025-06-18,Referral,45-54,Active
USR000120,India,Spanish,2025-05-05,Organic Search,18-24,Active
USR000121,India,Hindi,2025-05-13,Organic Search,45-54,Active
USR000122,Brazil,Portuguese,2025-07-26,Social Media,25-34,Inactive
USR000123,India,Portuguese,2025-04-24,App Store,35-44,Active
USR000124,India,Tamil,2025-02-24,Organic Search,18-24,Active
USR000125,United Kingdom,Telugu,2025-06-16,App Store,35-44,Active
USR000126,India,German,2025-05-14,Social Media,25-34,Active
USR000127,India,English,2025-01-26,Organic Search,18-24,Active
USR000128,United States,French,2025-03-28,Social Media,18-24,Active
USR000129,India,French,2025-03-27,Referral,25-34,Inactive
USR000130,Germany,Bengali,2025-07-25,Paid Ads,55+,Active
USR000131,United States,German,2025-03-27,Referral,18-24,Active
USR000132,India,Spanish,2025-02-25,App Store,25-34,Active
USR000133,India,English,2025-06-28,App Store,25-34,Inactive
USR000134,India,English,2025-03-06,Organic Search,25-34,Active
USR000135,India,German,2025-01-23,App Store,55+,Active
USR000136,Australia,Bengali,2025-05-15,Social Media,25-34,Active
USR000137,India,Portuguese,2025-04-30,Partner Bundle,35-44,Active
USR000138,United States,Hindi,2025-04-22,App Store,25-34,Active
USR000139,France,German,2025-05-17,Social Media,25-34,Active
USR000140,United States,French,2025-06-01,Paid Ads,25-34,Active
USR000141,United States,Spanish,2025-05-06,Organic Search,25-34,Active
USR000142,UAE,Bengali,2025-03-17,Social Media,45-54,Active
USR000143,UAE,Hindi,2025-02-16,Organic Search,18-24,Active
USR000144,UAE,Hindi,2025-01-25,Paid Ads,45-54,Active
USR000145,United Kingdom,German,2025-05-28,Organic Search,25-34,Active
USR000146,Brazil,English,2025-04-03,Social Media,35-44,Active
USR000147,France,Telugu,2025-03-07,App Store,45-54,Inactive
USR000148,United States,Portuguese,2025-01-28,Paid Ads,25-34,Active
USR000149,Canada,Hindi,2025-03-26,Social Media,18-24,Active
USR000150,India,English,2025-05-22,Paid Ads,35-44,Active
USR000151,United Kingdom,Portuguese,2025-05-08,Social Media,18-24,Active
USR000152,India,Hindi,2025-02-23,App Store,45-54,Active
USR000153,India,Portuguese,2025-03-25,Referral,35-44,Active
USR000154,India,Bengali,2025-02-23,Paid Ads,35-44,Active
USR000155,United States,Telugu,2025-01-27,Partner Bundle,18-24,Active
USR000156,United States,English,2025-08-09,App Store,55+,Active
USR000157,United Kingdom,French,2025-03-09,Social Media,18-24,Active
USR000158,India,Telugu,2025-07-03,App Store,25-34,Inactive
USR000159,Germany,Tamil,2025-03-25,Partner Bundle,55+,Active
USR000160,United Kingdom,English,2025-05-24,Social Media,18-24,Active
USR000161,Canada,Telugu,2025-05-31,App Store,35-44,Active
USR000162,India,Hindi,2025-04-24,Organic Search,18-24,Active
USR000163,France,Bengali,2025-05-20,Social Media,35-44,Active
USR000164,Canada,Hindi,2025-05-23,Paid Ads,45-54,Active
USR000165,UAE,French,2025-06-14,Organic Search,25-34,Active
USR000166,India,Tamil,2025-01-27,Organic Search,25-34,Inactive
USR000167,United States,Bengali,2025-02-28,Referral,55+,Active
USR000168,India,Spanish,2025-09-14,App Store,18-24,Active
USR000169,India,Tamil,2025-01-20,Referral,25-34,Active
USR000170,United States,Tamil,2025-03-10,Paid Ads,35-44,Active
USR000171,UAE,English,2025-04-21,Paid Ads,35-44,Active
USR000172,United Kingdom,Tamil,2025-05-07,Referral,25-34,Active
USR000173,India,English,2025-07-01,Social Media,45-54,Active
USR000174,Australia,Portuguese,2025-05-09,Social Media,45-54,Active
USR000175,India,French,2025-07-07,Social Media,45-54,Active
USR000176,United States,German,2025-03-10,Organic Search,18-24,Active
USR000177,United Kingdom,English,2025-01-12,Partner Bundle,35-44,Active
USR000178,United Kingdom,English,2025-06-21,Paid Ads,45-54,Active
USR000179,United Kingdom,Portuguese,2025-03-26,App Store,18-24,Active
USR000180,India,Tamil,2025-02-20,App Store,25-34,Inactive
USR000181,India,Tamil,2025-07-27,Organic Search,55+,Active
USR000182,Singapore,German,2025-02-25,Organic Search,25-34,Active
USR000183,Brazil,Tamil,2025-03-14,Partner Bundle,35-44,Active
USR000184,India,Bengali,2025-04-21,Referral,25-34,Inactive
USR000185,Canada,Telugu,2025-04-22,App Store,25-34,Active
USR000186,India,Telugu,2025-03-16,Referral,45-54,Active
USR000187,United States,Portuguese,2025-06-07,App Store,25-34,Active
USR000188,Germany,Portuguese,2025-02-22,Paid Ads,25-34,Active
USR000189,United States,Portuguese,2025-06-24,Organic Search,25-34,Active
USR000190,France,English,2025-08-10,Partner Bundle,25-34,Active
USR000191,Canada,Tamil,2025-04-30,Referral,45-54,Active
USR000192,Canada,German,2025-05-04,Referral,35-44,Active
USR000193,India,Bengali,2025-02-21,Referral,25-34,Active
USR000194,Australia,Bengali,2025-09-22,App Store,35-44,Active
USR000195,Brazil,Bengali,2025-02-20,Organic Search,18-24,Active
USR000196,United States,German,2025-04-17,Organic Search,35-44,Active
USR000197,India,English,2025-07-16,Social Media,25-34,Active
USR000198,Brazil,French,2025-03-03,Partner Bundle,35-44,Active
USR000199,India,Telugu,2025-04-14,Social Media,45-54,Inactive
USR000200,United States,Hindi,2025-02-23,Organic Search,25-34,Active
USR000201,India,Telugu,2025-05-29,Referral,18-24,Active
USR000202,India,German,2025-06-30,Paid Ads,18-24,Inactive
USR000203,India,Tamil,2025-02-19,Referral,45-54,Inactive
USR000204,United Kingdom,Tamil,2025-01-23,Social Media,35-44,Active
USR000205,United Kingdom,German,2025-01-07,Social Media,35-44,Active
USR000206,United Kingdom,Telugu,2025-03-04,Social Media,35-44,Active
USR000207,United Kingdom,French,2025-04-14,App Store,18-24,Active
USR000208,United States,English,2025-07-25,Referral,18-24,Active
USR000209,Germany,Portuguese,2025-04-30,Social Media,25-34,Active
USR000210,Singapore,Telugu,2025-04-13,Organic Search,55+,Active
USR000211,India,Portuguese,2025-06-08,Social Media,25-34,Active
USR000212,India,Portuguese,2025-05-19,Referral,45-54,Active
USR000213,United States,Telugu,2025-03-26,Referral,25-34,Active
USR000214,India,Hindi,2025-02-10,Paid Ads,35-44,Active
USR000215,UAE,Hindi,2025-06-14,Organic Search,18-24,Active
USR000216,India,French,2025-05-08,Referral,18-24,Active
USR000217,United Kingdom,Portuguese,2025-02-03,Social Media,25-34,Active
USR000218,India,Telugu,2025-05-03,Organic Search,35-44,Inactive
USR000219,United Kingdom,Portuguese,2025-03-10,Social Media,55+,Active
USR000220,India,French,2025-07-16,App Store,18-24,Inactive
USR000221,Germany,Portuguese,2025-02-24,App Store,55+,Active
USR000222,Brazil,Telugu,2025-06-16,Organic Search,25-34,Active
USR000223,India,Bengali,2025-08-03,Referral,35-44,Active
USR000224,India,English,2025-03-21,Referral,35-44,Active
USR000225,United States,Portuguese,2025-04-12,Organic Search,25-34,Active
USR000226,United Kingdom,Bengali,2025-05-10,Paid Ads,25-34,Active
USR000227,India,English,2025-04-29,Social Media,35-44,Active
USR000228,Germany,Bengali,2025-01-31,Social Media,18-24,Inactive
USR000229,India,German,2025-03-21,Referral,35-44,Active
USR000230,India,Spanish,2025-06-26,Referral,45-54,Inactive
USR000231,United Kingdom,Bengali,2025-04-01,Paid Ads,45-54,Active
USR000232,India,Spanish,2025-07-30,Referral,45-54,Inactive
USR000233,Australia,Bengali,2025-06-20,Organic Search,35-44,Active
USR000234,India,German,2025-03-29,App Store,35-44,Active
USR000235,France,Bengali,2025-03-16,Organic Search,35-44,Active
USR000236,United States,Spanish,2025-02-13,Paid Ads,25-34,Active
USR000237,United Kingdom,Tamil,2025-02-15,App Store,18-24,Active
USR000238,India,Tamil,2025-03-31,Paid Ads,18-24,Inactive
USR000239,India,French,2025-03-15,Social Media,25-34,Active
USR000240,Canada,German,2025-04-04,App Store,35-44,Active
USR000241,India,Telugu,2025-06-15,Social Media,55+,Inactive
USR000242,United States,English,2025-04-28,Paid Ads,45-54,Inactive
USR000243,United States,Bengali,2025-06-08,App Store,55+,Active
USR000244,India,Spanish,2025-04-07,Organic Search,18-24,Active
USR000245,Germany,Telugu,2025-04-24,Paid Ads,18-24,Active
USR000246,Singapore,Portuguese,2025-04-02,Partner Bundle,35-44,Active
USR000247,United States,Hindi,2025-03-27,Organic Search,18-24,Active
USR000248,Singapore,Telugu,2025-08-08,Organic Search,45-54,Active
USR000249,UAE,English,2025-03-15,Social Media,25-34,Active
USR000250,India,German,2025-05-09,Partner Bundle,45-54,Active
USR000251,India,Telugu,2025-03-04,Organic Search,25-34,Active
USR000252,United States,German,2025-08-04,Social Media,35-44,Active
USR000253,United Kingdom,German,2025-02-20,App Store,35-44,Active
USR000254,United States,Tamil,2025-02-26,Organic Search,25-34,Active
USR000255,India,Tamil,2025-06-22,Partner Bundle,25-34,Active
USR000256,United States,Hindi,2025-05-10,Paid Ads,35-44,Active
USR000257,Australia,Portuguese,2025-03-26,Partner Bundle,25-34,Inactive
USR000258,India,Spanish,2025-05-26,Organic Search,25-34,Active
USR000259,Australia,English,2025-04-08,Organic Search,25-34,Active
USR000260,Singapore,English,2025-03-17,Social Media,35-44,Inactive
USR000261,Germany,Portuguese,2025-03-26,Organic Search,18-24,Active
USR000262,India,Tamil,2025-07-18,Organic Search,55+,Active
USR000263,India,Telugu,2025-06-09,Partner Bundle,18-24,Active
USR000264,United States,Hindi,2025-05-13,Organic Search,25-34,Active
USR000265,Brazil,English,2025-04-19,Paid Ads,18-24,Active
USR000266,France,Hindi,2025-03-25,Paid Ads,45-54,Active
USR000267,United Kingdom,Spanish,2025-03-16,Organic Search,18-24,Active
USR000268,India,Spanish,2025-06-17,Organic Search,25-34,Active
USR000269,Australia,Bengali,2025-02-07,Social Media,25-34,Active
USR000270,France,French,2025-01-28,Paid Ads,45-54,Inactive
USR000271,Singapore,English,2025-05-23,Partner Bundle,35-44,Active
USR000272,United Kingdom,Hindi,2025-03-15,Referral,18-24,Active
USR000273,United States,Portuguese,2025-07-02,Partner Bundle,25-34,Active
USR000274,United Kingdom,Hindi,2025-06-14,Organic Search,25-34,Active
USR000275,Singapore,Portuguese,2025-04-15,Paid Ads,55+,Active
USR000276,Canada,German,2025-06-14,App Store,45-54,Active
USR000277,India,French,2025-06-22,Organic Search,18-24,Active
USR000278,Canada,French,2025-07-08,App Store,25-34,Active
USR000279,UAE,Spanish,2025-03-22,Social Media,25-34,Active
USR000280,United Kingdom,Hindi,2025-01-24,Partner Bundle,55+,Active
USR000281,United States,Bengali,2025-01-06,Organic Search,45-54,Active
USR000282,Australia,Tamil,2025-06-21,Referral,45-54,Active
USR000283,Canada,Portuguese,2025-04-11,App Store,25-34,Inactive
USR000284,India,Hindi,2025-02-19,Paid Ads,35-44,Active
USR000285,Australia,English,2025-04-25,Referral,25-34,Active
USR000286,United States,Bengali,2025-04-13,Referral,45-54,Active
USR000287,Singapore,Bengali,2025-04-20,Social Media,55+,Active
USR000288,Brazil,German,2025-03-28,Social Media,35-44,Inactive
USR000289,United States,Hindi,2025-05-31,Referral,25-34,Active
USR000290,Brazil,German,2025-02-17,Paid Ads,45-54,Active
USR000291,India,Bengali,2025-04-02,Organic Search,45-54,Active
USR000292,Canada,French,2025-03-05,Partner Bundle,18-24,Inactive
USR000293,India,Hindi,2025-05-23,Social Media,35-44,Active
USR000294,India,Spanish,2025-03-04,Social Media,35-44,Active
USR000295,UAE,Spanish,2025-02-07,Social Media,25-34,Active
USR000296,UAE,Portuguese,2025-05-06,Organic Search,18-24,Active
USR000297,United Kingdom,Spanish,2025-05-01,Organic Search,25-34,Inactive
USR000298,India,English,2025-02-02,App Store,18-24,Active
USR000299,United States,Telugu,2025-06-24,Social Media,25-34,Active
USR000300,UAE,English,2025-04-28,Organic Search,45-54,Inactive
USR000301,India,Tamil,2025-03-21,Paid Ads,45-54,Active
USR000302,India,French,2025-01-16,Partner Bundle,25-34,Active
USR000303,Germany,Telugu,2025-06-04,Partner Bundle,25-34,Inactive
USR000304,Singapore,Telugu,2025-04-29,Paid Ads,25-34,Active
USR000305,India,Telugu,2025-05-15,Organic Search,35-44,Active
USR000306,Germany,Tamil,2025-05-10,Organic Search,18-24,Inactive
USR000307,Canada,Telugu,2025-01-24,App Store,45-54,Active
USR000308,India,Bengali,2025-03-26,Partner Bundle,18-24,Inactive
USR000309,Germany,Spanish,2025-06-17,Paid Ads,18-24,Inactive
USR000310,Australia,German,2025-02-06,Partner Bundle,35-44,Active
USR000311,India,Portuguese,2025-04-07,App Store,25-34,Active
USR000312,United States,Bengali,2025-02-10,Organic Search,25-34,Active
USR000313,Germany,Tamil,2025-05-29,Organic Search,45-54,Active
USR000314,India,Portuguese,2025-04-11,Organic Search,25-34,Active
USR000315,United States,German,2025-05-27,Referral,45-54,Active
USR000316,India,Hindi,2025-05-19,Social Media,18-24,Active
USR000317,India,Portuguese,2025-07-31,Social Media,55+,Active
USR000318,India,German,2025-07-30,Organic Search,45-54,Active
USR000319,United States,Bengali,2025-02-03,Paid Ads,35-44,Active
USR000320,India,Bengali,2025-05-11,Organic Search,35-44,Inactive
USR000321,United States,French,2025-08-08,Social Media,25-34,Active
USR000322,India,French,2025-04-28,Social Media,35-44,Active
USR000323,Australia,English,2025-08-25,Organic Search,25-34,Active
USR000324,Australia,German,2025-03-30,Social Media,45-54,Active
USR000325,India,Portuguese,2025-06-17,Partner Bundle,45-54,Active
USR000326,Brazil,German,2025-08-12,Partner Bundle,35-44,Active
USR000327,Australia,German,2025-02-22,Organic Search,45-54,Active
USR000328,United Kingdom,Tamil,2025-04-04,Organic Search,25-34,Inactive
USR000329,United States,Tamil,2025-08-11,Referral,25-34,Active
USR000330,India,Bengali,2025-05-02,Organic Search,25-34,Active
USR000331,Brazil,English,2025-05-28,Partner Bundle,18-24,Active
USR000332,India,German,2025-06-20,Referral,25-34,Active
USR000333,Australia,Portuguese,2025-03-23,Social Media,35-44,Active
USR000334,United States,Spanish,2025-06-02,Partner Bundle,45-54,Active
USR000335,UAE,Telugu,2025-05-13,Social Media,55+,Active
USR000336,United States,Telugu,2025-03-13,Social Media,35-44,Active
USR000337,United States,Spanish,2025-03-28,Organic Search,45-54,Active
USR000338,Australia,Telugu,2025-08-17,Organic Search,25-34,Active
USR000339,India,Spanish,2025-02-27,Paid Ads,35-44,Inactive
USR000340,India,Tamil,2025-06-21,Paid Ads,55+,Active
USR000341,India,Bengali,2025-04-29,Social Media,35-44,Active
USR000342,India,Bengali,2025-06-19,Social Media,25-34,Inactive
