session_id,user_id,content_id,started_at,watch_minutes,session_status,discovery_source,video_quality,device_id,completion_pct
SES0000001,USR005525,CNT00536,2025-03-05 17:04:25,116,Completed,Continue Watching,4K,DEV013688,100.0
SES0000002,USR002596,CNT00542,2025-11-15 21:45:48,93,Stopped,Trending,480p,DEV012775,100.0
SES0000003,USR007381,CNT01481,2025-03-09 20:25:23,92,Completed,Recommendation,1080p,DEV010584,96.8
SES0000004,USR002569,CNT00536,2025-03-20 14:56:06,76,Completed,Recommendation,720p,DEV013200,73.1
SES0000005,USR008943,CNT00536,2025-07-23 13:23:04,61,Completed,Continue Watching,1080p,DEV003317,58.7
SES0000006,USR000274,CNT00542,2025-12-16 21:29:16,123,Stopped,Trending,480p,DEV000320,100.0
SES0000007,USR005384,CNT00542,2025-10-22 11:31:28,50,Completed,Search,4K,DEV001147,67.6
SES0000008,USR007543,CNT00536,2025-04-26 19:48:48,93,Abandoned,Auto,4K,DEV003853,89.4
SES0000009,USR007018,CNT01305,2025-05-13 07:10:15,108,Abandoned,Recommendation,720p,DEV007170,76.6
SES0000010,USR007959,CNT00536,2025-10-29 10:42:18,20,Completed,Recommendation,720p,DEV001216,19.2
SES0000011,USR005488,CNT01305,2025-06-03 21:13:43,45,Completed,Recommendation,4K,DEV005696,31.9
SES0000012,USR005065,CNT01305,2025-10-16 13:27:25,39,Completed,Continue Watching,720p,DEV001268,27.7
SES0000013,USR009212,CNT01926,2025-01-07 13:40:26,67,Completed,Trending,720p,DEV005233,37.4
SES0000014,USR009348,CNT00423,2025-04-08 17:18:28,172,Completed,Recommendation,480p,DEV003954,100.0
SES0000015,USR003886,CNT00973,2025-04-27 18:39:33,39,Completed,Recommendation,720p,DEV007755,26.7
SES0000016,USR004705,CNT00536,2025-11-20 07:42:50,139,Completed,Trending,4K,DEV014212,100.0
SES0000017,USR005158,CNT00542,2025-07-17 18:42:18,53,Stopped,Recommendation,720p,DEV001876,71.6
SES0000018,USR005367,CNT00973,2025-12-10 17:40:27,43,Stopped,Recommendation,1080p,DEV008301,29.5
SES0000019,USR008390,CNT01694,2025-07-22 17:58:21,126,Completed,Search,4K,DEV010711,100.0
SES0000020,USR003658,CNT01213,2025-07-15 09:51:41,90,Abandoned,Search,1080p,DEV000981,71.4
SES0000021,USR002435,CNT01694,2025-10-01 17:00:13,49,Completed,Continue Watching,1080p,DEV000170,39.5
SES0000022,USR003947,CNT01305,2025-10-30 08:15:22,56,Completed,Recommendation,1080p,DEV000940,39.7
SES0000023,USR007801,CNT01481,2025-01-12 18:01:17,39,Completed,Continue Watching,1080p,DEV000006,41.1
SES0000024,USR000752,CNT00721,2025-04-02 14:24:32,16,Completed,Recommendation,4K,DEV004746,16.8
SES0000025,USR006081,CNT00973,2025-04-05 15:49:44,91,Completed,Search,1080p,DEV005443,62.3
SES0000026,USR006822,CNT01694,2025-11-06 20:03:44,94,Completed,Continue Watching,4K,DEV008647,75.8
SES0000027,USR003697,CNT00428,2025-01-05 14:53:06,76,Completed,Continue Watching,1080p,DEV012446,42.7
SES0000028,USR002917,CNT01491,2025-06-28 20:20:44,56,Stopped,Continue Watching,720p,DEV012116,34.4
SES0000029,USR000105,CNT01694,2025-02-27 13:08:28,72,Stopped,Continue Watching,1080p,DEV013586,58.1
SES0000030,USR004871,CNT01167,2025-09-04 18:50:25,89,Abandoned,Recommendation,1080p,DEV013565,80.9
SES0000031,USR005763,CNT00536,2025-08-24 11:22:02,69,Completed,Continue Watching,1080p,DEV013817,66.3
SES0000032,USR002084,CNT00536,2025-03-05 19:39:51,67,Completed,Search,1080p,DEV004969,64.4
SES0000033,USR005992,CNT00423,2025-01-10 15:25:02,39,Completed,Search,4K,DEV012864,25.8
SES0000034,USR004176,CNT01694,2025-01-19 21:15:02,10,Stopped,Continue Watching,1080p,DEV010737,8.1
SES0000035,USR000087,CNT01694,2025-12-30 09:29:52,115,Stopped,Continue Watching,4K,DEV008694,92.7
SES0000036,USR003499,CNT00536,2025-04-06 19:53:23,112,Completed,Continue Watching,1080p,DEV005185,100.0
SES0000037,USR001697,CNT00916,2025-09-24 16:56:44,119,Completed,Auto,1080p,DEV008637,79.3
SES0000038,USR009647,CNT00536,2025-12-12 15:32:21,35,Abandoned,Trending,720p,DEV008483,33.7
SES0000039,USR008523,CNT00423,2025-09-24 18:26:38,83,Stopped,Trending,720p,DEV012522,55.0
SES0000040,USR002316,CNT00536,2025-07-03 16:42:50,71,Completed,Continue Watching,720p,DEV005180,68.3
SES0000041,USR006818,CNT00536,2025-10-02 12:12:53,151,Completed,Trending,4K,DEV013060,100.0
SES0000042,USR005852,CNT01342,2025-12-18 16:58:48,70,Completed,Continue Watching,720p,DEV012094,92.1
SES0000043,USR007991,CNT00423,2025-07-24 07:44:39,47,Completed,Recommendation,1080p,DEV014747,31.1
SES0000044,USR000084,CNT00536,2025-07-14 15:41:26,129,Abandoned,Recommendation,720p,DEV013554,100.0
SES0000045,USR005451,CNT01481,2025-02-20 16:57:14,79,Completed,Continue Watching,1080p,DEV008087,83.2
SES0000046,USR008804,CNT01213,2025-01-22 10:56:08,116,Completed,Search,720p,DEV002578,92.1
SES0000047,USR006582,CNT00542,2025-07-15 11:52:52,48,Completed,Search,1080p,DEV005847,64.9
SES0000048,USR005094,CNT01694,2025-04-19 14:11:37,57,Completed,Auto,480p,DEV005421,46.0
SES0000049,USR001759,CNT01694,2025-09-03 19:39:07,25,Abandoned,Continue Watching,480p,DEV003856,20.2
SES0000050,USR007001,CNT00536,2025-11-08 12:38:16,26,Completed,Trending,1080p,DEV012382,25.0
SES0000051,USR009253,CNT01481,2025-01-21 13:46:40,40,Stopped,Continue Watching,720p,DEV005507,42.1
SES0000052,USR001356,CNT01213,2025-03-31 11:21:44,124,Completed,Trending,720p,DEV006571,98.4
SES0000053,USR003287,CNT01694,2025-08-03 19:31:57,142,Completed,Recommendation,1080p,DEV013364,100.0
SES0000054,USR006879,CNT00423,2025-12-20 20:24:15,84,Completed,Recommendation,720p,DEV006746,55.6
SES0000055,USR004296,CNT00536,2025-10-25 17:41:16,108,Completed,Trending,720p,DEV003428,100.0
SES0000056,USR003662,CNT01481,2025-12-03 03:13:55,73,Stopped,Trending,4K,DEV010582,76.8
SES0000057,USR006817,CNT01743,2025-07-12 21:15:38,89,Abandoned,Continue Watching,1080p,DEV006491,53.0
SES0000058,USR003277,CNT01694,2025-08-11 19:37:49,112,Completed,Continue Watching,1080p,DEV011308,90.3
SES0000059,USR009051,CNT00973,2025-12-04 09:31:04,75,Stopped,Recommendation,1080p,DEV009297,51.4
